Barrier Name,N,Seed,Completion Time (s),Negative Iterations,Circle Time (%),Ellipse Time (%),Triangle Time (%),Square Time (%)
delta(elliptical-square-triangle),16,5,32.967,0,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),20,1,0.0,208,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),20,2,0.0,523,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),20,3,0.0,201,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),20,4,0.0,237,0.0,0.0,0.0,0.0
delta(elliptical-square-triangle),20,5,0.0,323,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(circular-elliptical-square-triangle),4,2,19.107,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),4,3,36.069,0,0.0,0.0,0.0,0.0
delta(circular-elliptical-square-triangle),4,4,19.668,0,0.0,0.0,0.0,0.0
